"text","cmp_code","eu_code"
"A. Durum Tespiti:","H",NA
"“Yeni Bir İktidara İhtiyaç Var”","305.1",NA
"Türkiye 24 Haziran 2018 günü Cumhurbaşkanlığıve Milletvekili Genel Seçimi için sandık başına gidecek ve 5 yıl boyunca kendisini yönetecek kadroları seçecektir.","305.1",NA
"Bu seçimlerin sonucu ülkemiz için ya bir normalleşme sürecinin başlangıcına ya da baskıcı anlayışın daha da güçlenmesine neden olacaktır.","202.1",NA
"Bu tarihi yol ayrımında milletimizin her zamanki sağduyu ve irfanıyla gidişatı tersine çevireceğine olan inancımız tamdır.","305.1",NA
"Ülkemizi 16 yıldır yönetmekte olan iktidar seçimlerin normal tarihinde yapılacağını kesin bir dille ifade ettikten çok kısa bir süre sonra erken seçim kararı almıştır.","305.1",NA
"Hatta belirlenen tarih dikkate alındığında seçimlerin erken değil, bir baskın seçim olduğu aşikârdır.","305.1",NA
"Bu noktada yaklaşan ekonomik krizin","414",NA
"ve giderek kaybolan toplumsal desteğin baskın seçim kararında etkili olduğu görülmektedir.","606.2",NA
"Seçimlerin belirlenen tarihten daha önce yapılması Hükümet’in ve Cumhurbaşkanı’nın ülkeyi yönetemediğinin bizzat tescili mahiyetindedir.","305.1",NA
"16 yıllık AK Parti iktidarının ortaya çıkardığı Türkiye manzarası hiç de iç açıcı değildir.","305.1",NA
"Mevcut tabloda; Ülke kutuplaşmış ve kamplara ayrılmıştır.","606.2",NA
"Baskı ve tahakküm artmıştır.","201.1",NA
"Düşünce, ifade ve basın özgürlüğü rafa kaldırılmıştır.","201.2",NA
"Olağanüstü hâl, olağan hale getirilmiştir.","202.1",NA
"Tek adam rejimi kurulmuştur.","202.1",NA
"Farklı ve muhalif sesler susturulmuştur.","201.2",NA
"Devletin omurgasını oluşturan kurumlar yıpratılmıştır.","202.1",NA
"Ekonomi dar boğaza sokulmuştur.","414",NA
"Cari açık büyümüştür.","414",NA
"Tarım ve hayvancılık bitirilmiştir.","703.1",NA
"Dış politika iflas etmiştir.","107",NA
"Adalet sistemi çökmüştür.","202.1",NA
"Mağdurlar ordusu oluşturulmuştur.","202.1",NA
"Yolsuzluk tarihi zirvesini görmüştür.","304",NA
"Rüşvet, iltimas, adam kayırma, torpil, partizanlık sıradan bir hâl almıştır.","304",NA
"Eğitim yazboz tahtasına dönmüştür.","506",NA
"Ahlaki ve manevi yozlaşma belirgin hale gelmiştir.","603",NA
"Aile yapısı bozulmuştur.","603",NA
"Suç ve şiddet artmıştır.","605.1",NA
"Fabrikalar satılmıştır.","413",NA
"Aziz milletimizin geleceği tüketime yönelik yatırımlar nedeniyle ipotek altına alınmıştır.","402",NA
"Hâlihazırda ülkeyi yönetmekte olanlar bile Türkiye’nin bir beka mücadelesi verdiğini söylemekte, adeta ülkeyi getirdikleri noktanın vahametini itiraf etmektedirler.","305.1",NA
"Üstelik ülkemizin belli bir bölgesinde uygulanan OHÂL’i kaldırmakla övünenler ülkemizin tamamını 20 Temmuz 2016 tarihinden beri OHÂL ile yönetmektedir.","202.1",NA
"İlk ilan edildiğinde 3 ay geçerli olacağı söylenen OHÂL 7 kez uzatılmıştır.","202.1",NA
"Öyle ki bugün seçimlere dahi OHÂL şartlarında gidilmektedir.","202.1",NA
"Anlaşılan OHÂL Türkiye için değil, AK Parti için uygulanmaktadır.","202.1",NA
"Çünkü OHÂL ile birlikte;Kanun gitmiş, kararname gelmiştir.","202.1",NA
"Seçilmişler gitmiş, atanmışlar gelmiştir.","202.1",NA
"Bakanlar gitmiş, danışmanlar gelmiştir.","202.1",NA
"Ortak akıl gitmiş, tek akıl gelmiştir.","202.3",NA
"İstişare gitmiş, talimat gelmiştir.","202.1",NA
"Meclis gitmiş, saray gelmiştir.","202.3",NA
"Adalet gitmiş, mağduriyet gelmiştir.","202.1",NA
"Yanlış politikalar nedeniyle Türkiye yaşanabilir bir ülke olmaktan çıkarken sınırlarımızın hemen ötesindeki yangına körükle gidilmiş ve tedavisi güç yaralar açılmıştır.","107",NA
"AK Parti iktidarının hataları sadece ülkemizi değil, bölgemizi de büyük bir felaketin eşiğine getirmiştir.","109",NA
"Bölgedeki emperyalist emellerine rağmen stratejik ortak olarak tanımlanan ABD, terör örgütlerine silah dâhil olmak üzere her türlü desteği vermiştir.","109",NA
"Bir gün önce müttefik olarak tanımlananlar, bir gün sonra düşman olmuş; bir zamanlar “one minute” denilenlerle şehitlerin kanları üzerinden anlaşmalar imzalanmıştır.","109",NA
"Kimi zaman diplomatik teamüller hiçe sayılarak AB’ye rest çekilmiş, kimi zaman da AB’ye üyelik hedef olarak tanımlanmıştır.","108",NA
"Dış politikadaki bu tutarsızlıklar ülkemizi ne yazık ki etkisiz ve dışlanan bir ülke pozisyonuna itmiştir.","107",NA
"B. Umut Var, Saadet Var","H",NA
"Bizler ülkemizin içinde bulunduğu karamsar tabloya rağmen ümitsiz değiliz.","305.1",NA
"24 Haziran Seçimleri sonrası Saadet iktidarı ile birlikte Türkiye hızla normalleşme sürecine girecektir.","305.1",NA
"Üç yıl içinde ekonomisi güçlü,","408",NA
