"text","cmp_code","eu_code"
"GELECEK VİZYONUMUZ","H",NA
"Bugün tüm dünyada her alanda baş döndürücü hızda bir değişim yaşanıyor.","411",NA
"Bir yandan teknolojik dönüşümler yaşanırken, diğer yandan sosyal ve kültürel alanda yeni eğilimler gözlenmektedir.","411",NA
"Değişimi iyi algılayarak uyum sağlayanlar kazanmakta, değişim sürecinde geri kalanlar ise eskisinden çok daha fazla bedeller ödemektedir.","411",NA
"Tecrübeli bir kadroyla dünyadaki eğilimleri, oluşan fırsatları, yeniden şekillenen ilişkileri dikkatle analiz ederek net bir yol haritası ortaya koyuyoruz.","411",NA
"Yeni dönemin ayır edici vasıflarından olan dijitalleşmeye özel bir önem veriyoruz ve Dijital Türkiye’nin vaktinin geldiğine inanıyoruz.","411",NA
"Ülkemizi, Cumhuriyetimizin kuruluşunun 100. yılına daha güçlü bir biçimde taşımak için 2023 vizyonumuzu ortaya koymuştuk.","305.1",NA
"Yeni hükümet sistemiyle bu vizyonumuzu daha da güçlendirerek, iş dünyamızın, genç girişimcilerimizin, iş kadınlarımızın küresel ölçekte söz sahibi olduğu bir ülkeye dönüştüreceğiz.","402",NA
"2023’e beş kala artık daha uzun soluklu hedefleri benimseme, ortaya koyma aşamasındayız.","404",NA
"Kendimize ufuk çizgisi olarak belirlediğimiz 2053 ve 2071’e doğru emin adımlarla yürürken artık vizyonumuzu uzun vadeli bir perspektifle geleceğe taşıyacağız.","404",NA
"Bunun için önümüzdeki dönemde de ortalama olarak gelişmekte olan ülkelerin üzerinde yüksek ve sürdürülebilir bir ekonomik büyüme sağlayacağız.","410",NA
"Böylece dünya ekonomisinden aldığımız payı yüzde 1,5’lere taşıyacağız.","410",NA
"Korumacılık eğiliminin küresel düzeyde yükseldiği bir ortamda geçici rüzgârlara kapılmayıp dışa açık,","407",NA
"rekabetçi, serbest piyasayı esas alan ekonomik yapımızı güçlendirerek devam ettireceğiz.","401",NA
"Coğrafyamızın ve dinamik genç nüfusumuzun avantajlarını da kullanarak ülkemizi küresel düzeyde bilgi üreten ve bilgiyi katma değere dönüştüren bir güç haline getireceğiz.","411",NA
"Üretim biçimimizi, günümüzde en önemli rekabet unsurlarından biri haline gelen yenilikçilik ve farklılık oluşturmaya dayalı bir yapıya dönüştüreceğiz.","411",NA
"Bunun için de bilgiye dayalı üretim, büyümemizin temel belirleyici gücü olacaktır.","411",NA
"Bütün politikalarımızın özünde insan merkezli siyasi anlayışımız bulunmaktadır.","201.1",NA
"İnsanımızı kalkınmanın bizatihi amacı olarak görüyor, yine bu amaca insanımızla erişebileceğimizin bilinciyle hareket ediyoruz.","410",NA
"En büyük servetimiz dinamik nüfusumuz ve gençlerimizdir.","706",NA
"Gelişmiş ülkelerin gıpta ile baktığı genç ve dinamik nüfusumuzun sunduğu fırsat penceresini ekonomik büyüme açısından en iyi şekilde değerlendireceğiz.","706",NA
"Birlikte koşacağımız gençlerimizle küresel alanda yeni başarı hikâyeleri yazacağız.","706",NA
"Başkalarını izleyen değil, başkalarının örnek aldığı, dünyada adından söz ettiren, sonuna kadar güvendiğimiz gençlerimizle başaracağız.","706",NA
"Topyekûn kalkınma hedefimiz çerçevesinde kadınlarımızın kalkınma sürecine daha aktif katılımını desteklemeye devam edeceğiz.","402",NA
"Bir yandan kadın girişimciliğini güçlendirirken","402",NA
"diğer yandan kadınların işgücüne katılma oranını 2023 sonunda yüzde 40’ın üzerine çıkaracağız.","701",NA
"Son 16 yılda yaptığımız atılımlarla; alt orta gelir ülke grubunda olan ülkemizi, üst-orta gelir grubuna yükselttik.","410",NA
"Yeni hedefimiz ülkemizi yüksek gelirli ülkeler ligine taşımaktır.","410",NA
"Kapsayıcı bir ekonomik büyüme anlayışı içinde ekonominin nimetlerini daha adaletli bir şekilde tüm toplumsal kesimlere paylaştıracağız.","503",NA
"Bir yandan gelir dağılımını iyileştirirken, diğer yandan bölgeler arası dengesizlikleri azaltacağız.","410",NA
