"text","cmp_code","eu_code"
"ÖNSÖZ","H",NA
"Cumhuriyetçi Köylü …. Partisi kurulduğu bendenden, patılıtmânâsiyle kâmil ve olgusratik nizam içinde Türk milletinin ilerlemesi ve vatandan insanlıktan nasiplerini alması için mücadele etmiştir.","305.1",NA
"Partimiz vatandaş haklarının ve hürriyetlerinin ne gibi, yollarla ihlâl edilerek gerçek demokrasinin nasıl kösteklendiğini gösteren hâdiseleri gaz önünde tutmuş,","202.1",NA
"vatandaşları huzura kavuşturmak suretiyle refah ve saadete ulaştıracak müesseselerin kurulmasını ve tedbirlerin alınmasını kendisine gaye edinmiştir.","410",NA
"27 Mayış 1960 tarihinde, memleketimizin geçirdiği siyasi buh ran sona ermiş, vatandaş hak ve hürriyetlerini koruyan ve onlara teminat altına alan bir Anayasa yapılmış ve böyiece devlet iktidarını ellerinde bulunduranların diledikleri gibi hareket etme imkânları önlenmiştir.","202.1",NA
"Partimiz, senelerce müdafaasını yaptığı fikirler ve prensiplerin Anayasaya girmesini görmekle pek haklı olarak İftihar etmekte","202.1",NA
"ve millete ifâ ettiği hizmetin hazzını duymaktadır.","305.1",NA
"Bu hak ve hürriyetlerin hukuken tanım ş olması kâfik değildir.","202.1",NA
"Ancak, bu hak ve hürriyetler vatandaşların sarsılmaz inançla onla rı korumak azmindeki kuvveti nisüetinde hayatiyet kazanırlar.","202.1",NA
"Bu suretle, tahakkuku uğrunda uzun yıllar mücadelesini yaptığımız temel hak ve hürriyetlerin teminatı olan müessesclerin şerefli bekçiliğini bir vazife telâkki etmekteyiz.","201.2",NA
"İnsanlık hür olma ve Hâlikinin bahşettiği her türlü bak ve nimetlerden istifade etme isteği yolundadır.","201.2",NA
"Bu günkü dünyanın mahdut ve muayyen kaynakları yanında gittikçe artan nüfus ve onların hudutsuz ihtiyaçları karşılanmak zorundadır.","410",NA
"Bu itibarla veni bir dünya ve insanlık görüşünün bütün milletler câmiasına hâkim olmağa başladığı görülmekte, er veya geç bu düşünüşün yayılaeağına da şüphe bırakmamaktadır.","410",NA
"20 nci yüzyılın ilk yarısına kadar mahalli, zümrevî muayyen toplulukların (milletlerin) kendi varlık ve saadetlerini idâme ettirmeye matut gayretlerde göze çarpan davranışla ve gayelerine ulaşmak için kullandıkları vasıtalar (sistemler, mücerred dektrmer görüşler) artık bu günün insanlığım tatmin etmemektedir.","411",NA
"İnsanları ve toplulukları birbirine düşüren bugünkü anlay de sağlamaktan uzak oultınmaktadır.","407",NA
"Insanlik hep beraber hakka ve adalete dayanan ölçüler içinde kendine bahşedilen nimetlerden istifade yolunu ararken, yarmın sistem ve imkânlarına yeni bir mesned aramakta ve burum da aileden başlayarak daha büyük topluluklara kadar esas olmasını düşünmektedir.","410",NA
"Bu ise, hür doğan, çalışan, başarı gösteren ve her haktan herkes gibi faydalanmak îsteyar insanlar topluluğunda, onları bu hedefe ulaştıracak vasıtaların, uzun vadeli plân ve programlar gereğince bir etüd ve hesap eşasına dayanması lüzumuna şüphe bırakmamaktadır.","404",NA
"İste bu kısa ve umumî görüşlerin ışığı altında Türk milletinin dâvalarını ele almanın ve ona bîr istikamet vermenin gerçeklere enuygun bîr yol olduğuna inanıyoruz.","601.1",NA
"Türkiye iktisaden geri kalmış milletlerdendir, İlmen, fikren çağdaş milletlere nazaran çok geridedir.","601.1",NA
"Bu itibarla, bir yandan memleketteki fakrü zaruretin giderilmesi,","601.1",NA
"diğer taraftan da İlmî ve fikrî seviyesinin yükseltilmesi ana gayelerden biri olması lâzım gelir.","410",NA
"Yüzyılların ihmâline ilâveten yakın mâzilerin bilgisiz güdümü altunda bu hâle gelen Türkiye’de, kalkınma ve gelişme imkânları, dünya milletlerinin dev adımlarla ilerlediği ve büyük zihniyet in kılâptanımı cereyan ettiği bu devrede, artık 19 uncu yüzyılın donmus kalarında yer alan ve birbirlerine intikalleri pek batı olan bir takım sistemler çerçevesi içinde mümkün olamıyacağına kaniiz.","410",NA
"Hiç şüphe yoktur ki, maziden bu yana cereyan eden ve tatbikim bulan bu fikrî tekâmül, bundan sonra da cemiyet hayatının yeni dügenine paha biçilmez görüş ve malzemeler de hediye etmiş bulunmaktadır.","410",NA
"Bu itibarla, bizim gibi düşünenler, şu veya bu sınıfın ve 'zümrenin menfaatlerini gözetlemeye mâtuf gayretler peşinde olmayıp Türk milletinin hep beraber yokluktan ve sefaletten kurtulmasına müteveccih çalışmalar yolundadır.","410",NA
"Diğer bir tâbire Partimiz, dünya görüşü ve gidişi yönünden, memleket kalkınmasında sınıf menfaatleri üzerine değil,","410",NA
"hakka ve adalete inanan ve ona bel bağlayalı,","202.1",NA
"çalışmayı esas alan ve herkesin kaabîliyeti, liyakâti ve verimine göre istifadesini sağlayacak yeni bir nizamın temellerini atacak bir teşekkül olarak kendini görmekte","410",NA
"ve sosyal devlet telâkkisini bu ölçüler çerçevesi iinde kabullenmektedir.","504",NA
"Ana Prensipler","H",NA
"Madde 1) Cumhuriyetçi Köylü Millet Partisinin gayesi, Türkiye de insan haklarını hâkim kılacak ve bunları güvenilir teminata bağlayacak bir devlet nizamı kurmaktır.","201.2",NA
"•Parti bu gayeye a) Hürriyet emniyet, müsavat ve adalet mefkurelerine,","202.1",NA
"•b) Milli hâkimiyet ve lâik Cumhuriyet esaslarına,","203",NA
"•c) Garp örneği demokrasi hukukuna,","202.1",NA
"•d) Milliyetçilik akidesine, samimî surette bağlanmakla varılabileceğine kaanidir.","601.1",NA
"Madde 2) Parti, bütün faaliyetinde yaln z meşru, ve kanuni yollarda yürümeyi kendisine vazife bilir.","202.1",NA
"Bu vazife, ihtiyaca uymayan, ferdin tabii hak ve hürriyetlerini tahdid ve ilga eden kanunları tenkitten ve onların islâhına ve tâdiline çalışmaktan feragati tazammum etmez.","202.1",NA
"Madde 3) Parti; devleti, insanların cemiyet’halinde ve barış içinde yaşamak ve birbirine yardım etmek hususunda duydukları hakiki arzu ve ihtiyaçtan doğmuş devamlı ve medenî bir zaruret telâkki eder.","606.1",NA
"Devletin gayesi, hürriyet,","201.1",NA
"emniyet","605.1",NA
"ve en zengin bir tenevvü içinde gelişmesi zarurî olan insan şahsiyetinin serbestçe teşekkül ve inkişafına engel olmamak,","401",NA
"şahsî faaliyetleri halk için ve halkın muvafakatiyle uzlaştırmak","202.1",NA
"ve adaleti temin etmektir.","202.1",NA
"Binaenaleyh ferd haklarını cemiyet haklarından ayırarak onun dûnunda bir mahiyet taşımasına ve ferdlerin amme menfaati icabı olarak görecekleri zararın tazmin edilmemesine müsamaha olunamaz.","202.1",NA
"Cemiyet kadar ferdin de hayatî menfaatini koruyacak usûllerin tatbikini isteriz.","202.1",NA
"Madde 4) Parti, adaleti, herkese hakkını vermek hususunda sarsılmayan devamlı bir irade olarak kabul eder.","202.1",NA
"Bu mahiyet, devletin eseri olmayan ,devlete takaddüm ve una rehberlik eden, onun selâhiyetlerini tahdid eden üstün biı hak mefhumunu zarurî kılar","202.1",NA
". Normal her insan nefsinde bu hak ve adaletin mânâsını taşır.","202.1",NA
"Hak, bizim için yalnız amelî bir takdir prensibi değil, ahlâkî bir gaye, bir imân, unsurudur.","202.1",NA
"Biz, hak ve adalete inanıyoruz.","202.1",NA
"Madde 5) Parti, İçtimaî nizamın teşekkülünde itikadlarm, ahlâkın, geleneklerin, örf ye âdetin büyük hisselerini tanır.","603",NA
"Bunlar sık şk değişmezler.","603",NA
"Ve devletin nüfuz sahasının dışında kalırlar.","603",NA
"Madde 6) Parti, memleketin istiklâlini ve toprak bütünlüğünü bozmak","601.1",NA
"ve insan haklarını ihlâl etmek maksadını güden","201.2",NA
"veya yabancı siyasî partilere âlet olan ferd ve cemiyetlerin faaliyetlerini gayri meşru sayar.","605.1",NA
"Bu cümleden olarak, devletin ve devlet adamlarınınbayat haklarını inkâr eden anarşistler, şahsî ve siyasi hürriyet haklarım reddeden komünistler hakkında kanunî korunma tedbirlerinin alınmasını zarurî görür.","605.1",NA
"Madde 7) Milliyetçilik Partimizin prensiplerinden biridir.","601.1",NA
"Bize göre millet mefhumunun en ehemmiyetli unsuru br nevî düşünce ve his birliğidir ki, millî vicdanı teşkil ve müşterek bir hayat ve istikbale inansi tâzammun eder.","601.1",NA
"Millî şuurun teşekkülünde dil birlilinin büyük hissesini kabul ederiz.","601.1",NA
"Parti, «Ben Türk’üm...» diyen ve kendisini Türk sayan her insanı Türk olarak kabul eder.","601.1",NA
"Türklüğün çok eski ve şerefli mazisine ve pek büyük umutla dolu istikbaline inanır.","601.1",NA
"Eğitim ve öğretim müesseselerinde millî şuurun kuvvetlenmesine elverişli bir programın tatbikim milli bîr vazife bilir;","601.1",NA
"ve okul dışında dahi gençliğin bu îmanla yetişmesine çalışmayı lüzumlu sayar.","603",NA
"Madde 8) Aile müessesesini cemiyetin temeli ve yüksek mânevi bir kıymet olarak kabul eden Partimiz onu tehdid ,eden kötü cereyanlarla mücadele etmeyi ve aile bağlarını kuvvetlendirecek her türlü tedbirleri almayı cemiyetin bir varlık şartı sayar.","603",NA
"Madde 9) Memleketin mesned ve istikbâli olan gençliğin demokratik","202.1",NA
"ve milliyetçi bîr rulı ve zihniyet iîe yüksek ahlâkî vasıfta Vs şahsiyet sahibi birer vatandaş olarak yetiştirilmesini bir gay kabul eden Partimiz,","601.1",NA
"onlara, parti mülâhazalarına kapılmadan talisfl çağında her türlü yardım ve kolaylığı sağlamak ve hayata atıl lâyık oldukları kıymeti vermek ve geniş inkişaf im kânlara hazırlamak azmindedir.","706",NA
"Madde 10) Parti, din ve devlet işlerinin birbirinden ayrı ol kabul eder.","203",NA
"Herkesin vicdan ve itikadhürriyetini, dilediğ va dilediği şekilde ibâdet hakkım mukaddes tanır.","201.2",NA
"Din ve vie dan iıüiviyefmi diğer hak ve hürriyetler gfbi kabul eder.","201.2",NA
"Din adamlarının seviyeli yetiştirilmesinin sağlanmasını ve menplar .... ınin yeter dereceye ulaştırılmasını düşünür.","203",NA
"Madde 11) Parti, hiç bir ferde, bir zümreye veya içimaî sınıfa ıususî bir hak, bir imiyaz veya asalet unvanı tanımaz.","202.1",NA
"Madde 12) Parti, mülkiyet ve tasarruf hakkının âdilâne olmayan bir surette tahdidini","401",NA
"ve servetin Devlet eliyle idaresini terfic eden bütün rejimlere aleyhtardır.","401",NA
"Parti, amme menfaati namına yapılacak kamulaştırmaları anclâk mahkemelerce takdir edilecek değer pahası peşin verilmek şartiyle tecviz eder.","413",NA
"Mal ve mülkü bu suretle elinden ahnan ferd, hâdisede âmme menfaatinin mevcut olmadığı, mülkiyet hakkının lüzumsuz ihlâl edilip edilmediği hususunda mahkemeye itiraz hakkına mâlik olmalıdır.","202.1",NA
"Madde 13) Siyaseti, milletin refah ve saadetini temin için yapılan v eahlâk esaslarına dayanan bir faaliyet olarak kabul eden Partimiz,","410",NA
"bu esaslara uymayan hareketleri siyasette mübah telâkki eden sakat ve zararlı zihniyetle mücadeleyi başlıca hedeflerinden saymaktadır.","605.1",NA
"Madde 14) Parti, her vatandaşın dünya için barış ve emniyet unsuru olmasını sağlayan İnsanî bir kültüre sahip olarak yetişmesi ni,","106",NA
"İnsanî dayanışma, iyi komşuluk, muahedelere sadakat, itidal ve bütün insanlara karşı şefkat, terbiyesi içinde gelişmesini kendi milletimiz ve milletler ailesinin refahı ve saadeti, için temel dâva addeder.","106",NA
"Madde 15) Parti, milletin refah ve saadetini sağlamaya mâtul her türlü faaliyetin ahlâk esaslarına dayanmasını ve buna uymaya hareketlerle mücadeleyi başlıca hedeflerinden biri sayar.","605.1",NA
"Himaya, iltimas, haksızlık, rüşvet, sur istimal","304",NA
"ve karaborsacılıkla savaşmaya millî bir borç bilir.","403",NA
"Ferd, aile ve devlet hayatında her türlü israftan kaçımhnasim ister","414",NA
"ve gösterişe müteveccih müsmir olmayan yatırımlara gidilmesini reddeder.","414",NA
"Madde 16) İktisaden pek geri durumda bulunan .... bir taraftan artan nüfus ve onların ihtiyaçlaran","000",NA
"dığer .... türlü istihsalin artırılması zaruretini göz","000",NA
"..... .... ......... ziraî,","000",NA
"sınaî ticarî","000",NA
"ve mail işlerle her türlü .................. ............. mütalâasını ve bunların umumi..................................","000",NA
"ünde yürütülmesini esas alır.","000",NA
"Bıı meyanaa, öncümle yatırımların, istikrarlı ve muvazeneli bir iktisadi sistemin gerektirdiği nisbet ve ölçülerde düzenlenmesini ve bunların kontrolünü zarurî görür.","404",NA
"Madde 17) Parti, memleketin arzettiği imkân ve şartlar için de, ziraî kalkınma yanında","703.1",NA
"sınaî kalkmmanın da (yer altı servetleri ve deniz ürünleri dahil) en az ayni ehemmiyet ve ölçüde müstakbel varlık ve refahın temelini teşkil edeceğine inanır.","703.1",NA
"Madde 18) Sosyal devlet kavramı içinde Parti,","504",NA
"ekonomi alanında millî geliri arttırmaya müteveccih hareketlerinde","410",NA
"şahsî teşebbüs ve şahsî mülkiyete,","401",NA
"meşru rekabete,","401",NA
"iç ve dış pazarlarda serbestçe ayarlanan ve","407",NA
"iş bölümüne dayanan serbest mübadele ekonomisine taraftardır.","401",NA
"Bu arada şahsî teşebbüsü önleyici her türlü tedbirleri reddeder.","401",NA
"Şahsı teşebbüsün muvaffakiyetini sağlamaya matuf bütün gayretlerin sarfını lüzumlu görür","402",NA
"ve fakat, hileli ticarete, sermaye haksizuklarına ve istismarına, aşırı kâr ihtirasına, bunlardan doğan büyük kitlenin ıztırap ve sefaletine kayıtsız kalamaz.","403",NA
"Prensip olarak Devlet, ziraat, ticâret ve sanayi ile iştigal edemez.","401",NA
"Bu itibarla, ferdi teşebbüsün hâilen başardığı işleri yapan devlet uiüesseseîerinin, orada çalışanların da iştiraklerini sağlamak suretiyle şirketlere devrini uygun görür.","401",NA
"Şahsî teşebbüs bilgi ve sermayelerinin erişemiyeceği büyük çaplı İktisadî teşebbüslere, mümkün ise, evvelâ şahsî teşebbüsle yabancı sermaye ve bilginin iştiraki sağlanır;","402",NA
"değilse, devlet, iç ve dışiınkâıılariyle bu nevî teşebbüslere girişebilir.","413",NA
"Şahsî ve yabancı sermayelerden ilgi görmeyen işler, bu meyanda limanlar, büyük su işleri, enerji kaynakları, demiryolları, posta, telgraf, telefon tesisleri ve emsali gibi teşebbüslerin Devlet eliyle yapılmasını tasvip eder.","411",NA
"Madde 19) Millî gelirin arttırılması etrafında milletçe sarfedilen gayrel ve tedbirlerden sağlanacak müsbet veya menfi hâsılalardan bütün vatandaşların sosyal adalet esaslarına göre, emek, teşebbüs, sermaye, hizmet ve başarılariyle mütenasip pay almaları ana görüşümüzdür.","410",NA
"Bunun sağlanması için bütün iktisadı ve mâlî mekanizmaların İlmî ölçüler dairesinde ayarlanması emelimizdir.","410",NA
