"text","cmp_code","eu_code"
"iMAOlMABARI$","H",NA
"7 Haziran seçimleri, HDP'nin barajı aşmasıve ErdoğanAKP'sinin 13 yıllıktek parti hakimiyetine son vermesiyle Türkiye'yi tarihsel bir yol ayrımının eşiğine getirmişti.","305.1",NA
"7 Haziran'ın ortaya çıkardığı yeni Meclis'in izlemesi gereken tek doğruyol, halklanmızın demokratik değişimtalepleri doğrultusunda, Türkiye'yi yeniden kuracak bir 'toplumsal sözleşme' için kollan sıvamak olmalıydı.","202.1",NA
"Yönünü demokratik değişime dönmüşbir Meclis, Erdoğan diktasına,","202.1",NA
"yolsuzlukve yozlaşma ile özdeşleşenAKP Hükümeti'ne son verebilir,","304",NA
"Demokratik bir Cumhuriyet'in kapısını aralayabilirdi.","202.1",NA
"Ne yazıkki, Erdoğan'ın 'Saray Darbesi'ne boyun eğenve acze düşen 'Meclis çoğunluğu', yalnızca demokratik değişimyönündeki tarihsel bir imkanı heba etmekle kalmadı,","202.1",NA
"bu kısa zaman diliminde kendi siyasi meşruiyetinin de sorgulanırhale gelmesine neden oldu.","202.3",NA
"7 Haziran sonrası, 'demokratik değişim' rüzgannın kendini de silip süpüreceğinden dehşete düşen Erdoğan, ikna edici ve inandıncı hiçbir gerekçe olmaksızın ülkeyi savaşve kaos ortamına sürükledi.","605.2",NA
"Onlarca insanınyaşamınıyitirmesine neden olan savaşınve kaosun siyasi sorumlulannı başka diyariarda aramaya gerek yok.","605.2",NA
"Sorumlular, 'Kürt sorunu yok, müzakere yok, masa yok' diyerek çözüm sürecini sona erdirenlerdir.","202.1",NA
"'400 milletvekili olsaydı böyle olmazdı' diyerek ülkeyi yeniden şiddet ortamına sürükleyenlerdir.","202.1",NA
"Halkiann demokratik iradesine saygı göstermeyen ve 'Saray Darbesi'yle bu iradeyi ortadan kaldırmakisteyenlerdir.","202.1",NA
"Seçimle işbaşma gelip seçimle gitmek istemeyen despotlardır.","202.1",NA
"Bugün yaşanan savaşın sorumlulan 'başkanlık sistemi' hayali kuranlardır.","202.1",NA
"Halklan birbirine düşmankılarak, toplumsal kutuplaşmayı artırarak,","606.1",NA
"kirli savaşyürüterek","605.2",NA
"imha ve inkar siyasetini yeniden canlandırmapeşinde olanlar,","202.1",NA
"bu savaşınve savaşta yitirilen onlarca insanın kendilerine iktidann kapısını açacağını sanıyorlar.","202.1",NA
"Yanılıyorlar; halklar bu savaşın neden çıktığını çok iyi biliyor ve bunun hesabını ı Kasım seçimlerinde 400 ve kil hayali kuranlardan soracaktır.","202.1",NA
"Bugün kaygısı ve yann korkusu hepimizin hayatını çekilmez kılıyor.","415",NA
"Devletin ve sermayenin iktidan mutlak üstünlüğünü güvenlik çemberleriyle sarmalarken, doğayı, insanıve toplumu güvencesiz hale getiriyor.","415",NA
"Piyasayı ve siyasi iktidan dokunulmazlık zırhına büründürürkE'n, yaşamalanlanmızıntümü üzerinde engelsiz bir denetim kurmak istiyor.","415",NA
"Gerçek demokrasiye ancak toplumun ve insanın, sermayenin ve siyasi iktidann mutlak tahakkümü altında ezilmesine karşı etkili mücadele edenler erişebilir.","415",NA
"Bütün bunlar ancak radikal demokrasiyle mümkündür.","202.1",NA
"Radikal demokrasi, halkın kendi hayatı üzerinde örgütlü bir güç olarak gerçek iktidar haline gelebilmesidir.","606.2",NA
"Toplumun güçlenmesi ve bunun özgürlüğün, adaletin ve eşit yurttaşlığın temeli haline ge lmesidir.","202.1",NA
"Radikal demokrasi, toplumun üretim ve çalışma koşullan üzerinde söz ve karar sahibi kılınmasıdır.","415",NA
"Toplumun temelini ve geleceğini güçlendirecek güvenceli yaşamekonomisidir.","403",NA
"Radikal demokrasi, işçilerin ve emekçilerin işyerlerinde iş cinayetlerine karşı iş güvenliğini sağlamahakkıdır.","701",NA
"İşçinin grev hakkıdır,","201.2",NA
"kadının görünmeyen emeğinin görünür kılınmasıdır.","503",NA
"İşsizliğin,","701",NA
"yoksulluğun sona erdirilmesidir.","504",NA
"Radikal demokrasi, aynmsızbirbiçimde bütün halkiann kendi anadilleriyle, kendi kimliklerini ve kültürlerini özyönetim anlayışıyla var etmesi ve gelecekkuşaklarataşıyarak'Yeni Yaşam'ı birlikte inşa etmesidir.","301",NA
"Radikal demokrasi, kadıniann erkek egemenliğine ve şiddetine karşı mücadelede desteklerinin çoğaltılmasıdır.","503",NA
"Gençlerin bugün ve gelecek korkusundan kurtulmasıdır.","706",NA
"Doğanın bir hammadde değil yaşamınkendisi olduğunun ortak kabulüdür.","501",NA
"Parasız eğitim","506",NA
"ve sağlıktır;","504",NA
"nitelikli, kamusal, laik, bilimsel, anadilinde eğitimdir.","607.1",NA
"İnsan onuruna yaraşırulaşım","411",NA
"ve hannma hakkıdır.","504",NA
"Engeliiierin toplumsal yaşamakatılımının önündeki engellerin kaldınlmasıdır.","503",NA
"1 Kasım'a giderken, hepimizin yediğimiz ekmek, içtiğimiz su, soluduğumuzhava kadar banşa,","606.1",NA
"demokrasiye, adalete ihtiyacı var.","202.1",NA
"Toplumun her bir öğesininvarlıkve yaşamkoşullannıntoplumun tümü tarafından güvence altına alındığı 'Yeni Yaşam'ı inşa etmek için gerçek demokrasiye ihtiyacımız var.","202.1",NA
"İnsanlık değerleri üzerinde birlikte inşa edeceğimiz büyük banşa","606.1",NA
"ve adalete ihtiyacımız var.","202.1",NA
"Dikta yönetimine değil, halkın özyönetimine ihtiyacımız var.","301",NA
"HDP koalisyon görüşmelerinde ""Demokrasi, Adalet, Banş"" programını ilan etmiştir.","305.1",NA
"Türkiye'nin içinde bulunduğukrizden çıkışının yegane formülü, bu programınuygulanmasıdır.","305.1",NA
"Kalıcı bir banşı,","606.1",NA
"köklü bir demokrasiyi,","202.1",NA
"yerel demokrasinin inşasını,","301",NA
"hayatın her alanında kadın-erkek eşitliğini,","503",NA
"emekçilerin sosyal haklannın sağlanmasını,","504",NA
"güvenceli çalışmave yaşamkoşullannı,","403",NA
"ekolojik bir yaşamı,","501",NA
"bütün ezilen kimliklerin özgürleşmesini sağlayabilecek","607.1",NA
"halkçı, demokratik bir hükümetin inşası için HDP sorumluluk almaya hazırdır.","202.1",NA
"ı Kasım, eşit yurttaşlıktemelinde farklılıklanmızla birlikte yaşayabileceğimiz Türkiye'de","607.1",NA
"kendimizi de, kentimizi de, ülkemizi de birlikte yöneteceğimiz özyönetimlere dayalı 'Demokratik Türkiye'ye açılanyeni kapı olabilir.","202.1",NA
"SONUN D~ HEPiMi li DüSÜNENBiR P~I\Ti!","H",NA
"ÖZGÜRLÜK VE EŞİTLİK İÇİN KADlNlAR KAZANACAK","H",NA
"7 Haziran gE'nE'l sE'çimlE'rindE' oyumuzu banştan,","606.1",NA
"çözümdE'n,","202.1",NA
"E'Şitlik","503",NA
"VE' dE'mokratiklE'ŞmE'dE'n yana kullandık.","202.1",NA
"Sandıktan çoğulculuk,","202.1",NA
"E'Şit","503",NA
"VE' ortak yaşam,","606.1",NA
"dE'mokratiklE'ŞmE'","202.1",NA
"VE' özgürlük iradE'si çıktı.","201.1",NA
"DE'nE'timkabul etmE'z, hak hukuk, muhalE'fet tanımaztE'k parti E'gE'mE'nliğinE'dur dE'dik.","202.1",NA
"TE'k adam diktatörlüğünE',","202.1",NA
"AKP'nin ülkeyi savaşa,","106",NA
"gE'nçlE'rimizi ölümE' sürükleyE'n,","605.2",NA
"kadınVE' toplum düşmanıpolitikalannahayırdE'dik.","503",NA
"Oysa gE'ldiğimiz noktada biryandan; SE'Çim sonuçlannın işarE'tettiği birbirini dışlamayan, ortak noktalar bulmaya, diyalog VE'uzlaşmaya dayalı yönE'tim tarzı toptan rE'ddE'dilmiş durumdadır.","202.1",NA
"Bir yandan da halkın çok açıkVE' nE't bir ŞE'kildE' ortaya koyduğubanş,","606.1",NA
"çözüm,","202.1",NA
"E'Şit","503",NA
"VE' ortak yaşam,","606.1",NA
"dE'mokratiklE'ŞmE'","202.1",NA
"VE' özgürlükiradE'sini ayaklar altına almaya yönE'lik büyük bir saldın başlatılmıştır.","201.1",NA
"Diktatörlük kurmak için sindirmE'k, tE'slim alınamıyorsa dayok etmE'k üzE'rE' oyuyla, tutumu VE' mücadE'lE'siylE' ortaya koyduğuiradeyE' sahip çıkan başta kadınlarolmak üzE'rE' hE'rkE'SE' savaşaçılmıştır.","202.1",NA
"Biz kadınlar, kadın iradE'sini tanımamaldaayak direyE'n, kadının özgürlük arayışlannı şiddet VE' katliamla sindirmE', yok E'tmE' gE'lE'nE'ğinE' sahip E'rkE'k E'gE'mE'n sistE'mlE' bin yıllardır mücadE'lE' E'diyoruz.","503",NA
